Date,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/05/2004 00:00,132516,,,,,
01/06/2004 00:00,134845,,,,,
01/07/2004 00:00,137734,,,,,
01/08/2004 00:00,139319,,,,,
01/09/2004 00:00,139039,,,,,
01/10/2004 00:00,140064,,,,,
01/11/2004 00:00,139878,,,,,
01/12/2004 00:00,138853,,,,,
01/01/2005 00:00,138759,65834,233758,138860,110564,107188
01/02/2005 00:00,138626,67225,232093,139493,110272,107211
01/03/2005 00:00,139763,81297,232616,140203,111665,108330
01/04/2005 00:00,141751,97185,233896,142384,113477,110164
01/05/2005 00:00,143273,97786,238123,143302,114686,111246
01/06/2005 00:00,144410,111974,236625,144327,116457,112341
01/07/2005 00:00,146269,117771,241625,146836,117620,112876
01/08/2005 00:00,146864,114613,244088,146443,118199,113527
01/09/2005 00:00,146635,117124,242427,146221,118654,112928
01/10/2005 00:00,146342,108303,242076,146292,118158,112682
01/11/2005 00:00,146777,111610,242413,146621,118563,113192
01/12/2005 00:00,147580,122222,239846,146475,119767,115503
01/01/2006 00:00,147360,88382,242321,146673,119106,114691
01/02/2006 00:00,147601,90058,240737,146708,119398,115789
01/03/2006 00:00,148798,118864,243422,148045,120384,116236
01/04/2006 00:00,152032,110370,246915,151459,123669,118409
01/05/2006 00:00,153473,121888,249900,152496,124245,120490
01/06/2006 00:00,154927,146253,250145,153825,126155,121615
01/07/2006 00:00,157156,134426,255691,156011,128481,121845
01/08/2006 00:00,158476,141486,258986,157285,129140,123003
01/09/2006 00:00,159122,137213,259621,157890,129509,123940
01/10/2006 00:00,160054,133356,260976,158769,130440,124565
01/11/2006 00:00,160878,135279,262557,159924,131202,124648
01/12/2006 00:00,162881,142000,262269,161145,133419,127649
01/01/2007 00:00,162825,101538,265423,161304,133124,127121
01/02/2007 00:00,163288,99013,264885,161582,132962,128864
01/03/2007 00:00,164555,123076,266405,162660,134904,129036
01/04/2007 00:00,167877,112054,270764,165603,137885,131992
01/05/2007 00:00,169800,125934,272968,167078,138900,134968
01/06/2007 00:00,171659,145599,276280,168693,140680,136163
01/07/2007 00:00,173817,134755,282741,170658,142181,137176
01/08/2007 00:00,174826,144901,284963,171682,143202,137449
01/09/2007 00:00,175052,114685,285409,171557,142870,138608
01/10/2007 00:00,174644,119246,285254,170939,142554,138259
01/11/2007 00:00,174553,118226,285498,171254,141995,138312
01/12/2007 00:00,174280,95060,282303,170695,142262,138795
01/01/2008 00:00,171137,67660,277315,167080,139379,138886
01/02/2008 00:00,169666,71682,274183,166218,138149,137513
01/03/2008 00:00,168432,69246,271161,165557,137713,135697
01/04/2008 00:00,168711,74444,272580,165067,138247,135834
01/05/2008 00:00,169742,77830,272675,166694,138676,137297
01/06/2008 00:00,167498,70467,269188,164556,137191,134915
01/07/2008 00:00,165669,62373,268092,162588,135169,133492
01/08/2008 00:00,162212,57673,263639,159087,132197,130524
01/09/2008 00:00,158128,49483,259497,154362,128517,127323
01/10/2008 00:00,154920,53405,252934,151805,125810,124877
01/11/2008 00:00,150563,43044,245035,148184,122347,120994
01/12/2008 00:00,148267,46373,240435,145583,121590,118389
01/01/2009 00:00,144840,31422,238721,141552,117187,116246
01/02/2009 00:00,143166,31888,232991,140741,116051,115392
01/03/2009 00:00,142278,41978,232113,139046,115471,115140
01/04/2009 00:00,143567,45378,232876,141318,117151,114811
01/05/2009 00:00,145550,52300,236239,143133,118579,116756
01/06/2009 00:00,146984,60728,239464,144159,120030,117402
01/07/2009 00:00,149620,71336,244415,147077,122349,118443
01/08/2009 00:00,151096,65968,247403,148752,123497,119068
01/09/2009 00:00,152283,66256,249012,149328,124467,120939
01/10/2009 00:00,153306,74416,251221,151189,125251,120457
01/11/2009 00:00,153823,69160,253041,150939,126033,120674
01/12/2009 00:00,154832,87202,250340,152890,127813,121575
01/01/2010 00:00,154268,41085,256310,151750,125808,120117
01/02/2010 00:00,154654,47348,255598,152854,126261,120175
01/03/2010 00:00,154645,58047,255531,151960,125959,121678
01/04/2010 00:00,156625,59555,257396,154618,127907,122747
01/05/2010 00:00,157379,59095,259913,154839,128469,123258
01/06/2010 00:00,158155,70937,259609,155688,129687,123881
01/07/2010 00:00,159757,76003,265571,157107,130378,124202
01/08/2010 00:00,159748,69123,265939,158032,129743,123780
01/09/2010 00:00,159337,64886,265484,156495,129886,123966
01/10/2010 00:00,157562,66726,262552,155335,128037,122461
01/11/2010 00:00,155691,63565,260773,153537,125794,121207
01/12/2010 00:00,155405,63541,257657,153207,126406,121388
01/01/2011 00:00,154113,42399,258167,151091,124616,120967
01/02/2011 00:00,153297,44207,256373,150286,124032,120480
01/03/2011 00:00,152591,52889,255470,149047,123466,120433
01/04/2011 00:00,154958,57449,257029,151462,125914,122821
01/05/2011 00:00,154269,55691,255070,151544,124988,122396
01/06/2011 00:00,154530,65290,254354,152012,125603,122428
01/07/2011 00:00,156476,70316,258704,153101,126978,124621
01/08/2011 00:00,156570,72144,260850,154216,126910,122402
01/09/2011 00:00,156179,71811,260324,153089,126798,122629
01/10/2011 00:00,154456,65175,258360,152059,124741,120906
01/11/2011 00:00,154533,67798,257180,152002,124545,122341
01/12/2011 00:00,153880,70770,254264,151620,124682,121599
01/01/2012 00:00,152831,49493,253841,150743,123677,119959
01/02/2012 00:00,152415,50099,253193,150166,123853,119016
01/03/2012 00:00,152866,69452,250029,150690,124918,120674
01/04/2012 00:00,154623,50094,256023,151606,125250,122769
01/05/2012 00:00,155121,59800,255683,152209,125957,123297
01/06/2012 00:00,156645,68568,256309,153243,128459,124314
01/07/2012 00:00,157246,66631,259601,153900,128094,124555
01/08/2012 00:00,157431,73921,259109,154514,128827,123789
01/09/2012 00:00,156871,60043,258546,153521,128149,123996
01/10/2012 00:00,155761,66842,256331,152626,126746,123899
01/11/2012 00:00,155888,72293,256764,153027,127305,122817
01/12/2012 00:00,155534,63795,255658,152235,127099,123279
01/01/2013 00:00,154495,49129,254443,152072,125440,122511
01/02/2013 00:00,154465,50648,254158,151432,125880,122638
01/03/2013 00:00,155385,62193,256496,152066,126397,123518
01/04/2013 00:00,156909,58521,257767,153320,127782,125568
01/05/2013 00:00,157736,75384,257812,154356,128617,126554
